ts_code,name,fractal_count,bi_count,segment_count,hub_count,trend,kline_count,latest_price,hub_high,hub_low,signal,price_position
000002.SZ,万科A,99,89,85,84,down,200,174.7629002043905,175.04375565409597,169.0460633187049,HOLD (Inside Hub),inside
000333.SZ,美的集团,101,88,84,83,down,200,161.1898815737355,152.65180240629934,147.2189139522998,BUY (Above Hub),above
000858.SZ,五粮液,95,81,77,76,down,200,177.28164419478875,177.04258329847804,169.04805518771573,BUY (Above Hub),above
600000.SH,浦发银行,91,79,75,74,down,200,131.03850476662856,127.13645277524111,109.05509042628063,BUY (Above Hub),above
600009.SH,上海电影,89,74,70,69,down,200,141.97090270553545,140.11196846975201,136.17628469086688,BUY (Above Hub),above
600016.SH,民生银行,106,96,92,91,down,200,119.9750633278307,120.33011324176566,115.06649202463176,HOLD (Inside Hub),inside
600028.SH,中国石化,102,91,87,86,down,200,192.0180594276285,197.2395129612875,191.4431314516914,HOLD (Inside Hub),inside
600030.SH,中信证券,107,97,93,92,down,200,210.92405923285784,212.38390802416603,207.40255958141393,HOLD (Inside Hub),inside
600031.SH,三一重工,95,80,76,75,down,200,202.59213745239853,198.7728733773492,192.95860023677227,BUY (Above Hub),above
600060.SH,海信家电,92,73,69,68,down,200,184.714643356014,190.76027214090024,180.49556355168838,HOLD (Inside Hub),inside
600061.SH,国投电力,101,94,90,89,down,200,119.36622136612192,109.48706990030482,90.5486216162061,BUY (Above Hub),above
600062.SH,华夏能源,86,79,75,74,down,200,140.23497221673452,139.93277016926757,133.9485687602666,BUY (Above Hub),above
600074.SH,华纺股份,107,89,85,84,down,200,175.08406274673146,175.88604372032307,171.3278625274501,HOLD (Inside Hub),inside
600089.SH,特变电工,92,83,79,78,down,200,138.9821588239152,139.08955976638117,132.62781932475318,HOLD (Inside Hub),inside
600118.SH,中国平安,104,88,84,83,down,200,164.05050071039065,166.09409505753683,158.05048193233912,HOLD (Inside Hub),inside
600125.SH,铁流股份,100,90,86,85,down,200,102.21773337242676,109.47041084471451,106.40045645538805,SELL (Below Hub),below
600132.SH,重庆啤酒,95,86,82,81,down,200,161.99561626322702,160.40178786381566,156.49716304538182,BUY (Above Hub),above
600138.SH,中青旅,99,80,76,75,down,200,104.48692928565254,107.11742270212841,100.76244798553927,HOLD (Inside Hub),inside
600143.SH,金发科技,83,73,69,68,down,200,168.133687964986,169.40687110427493,153.94597457949837,HOLD (Inside Hub),inside
600145.SH,新兴铸管,103,87,83,82,down,200,183.26072523024723,184.4335667611548,175.5692959014277,HOLD (Inside Hub),inside
600150.SH,中国船舶,84,71,67,66,down,200,132.3944020511365,134.4305883044595,128.88830222315443,HOLD (Inside Hub),inside
600170.SH,上海建工,91,78,74,73,down,200,151.35035784237385,140.00358850029284,126.74046507975376,BUY (Above Hub),above
600176.SH,兖州煤业,106,92,88,87,down,200,99.72000046164985,92.03621215645056,86.5891313245662,BUY (Above Hub),above
600177.SH,益阳纸业,96,83,79,78,down,200,132.39039218861632,134.85334951956952,116.12609081133039,HOLD (Inside Hub),inside
600183.SH,生益科技,100,89,85,84,down,200,132.10567408760193,122.68902074588037,119.01860609513294,BUY (Above Hub),above
600188.SH,兖矿能源,94,82,78,77,down,200,121.05304737243195,120.17977954114943,113.43264145180389,BUY (Above Hub),above
600210.SH,紫江企业,99,85,81,80,down,200,174.01755021449077,176.4556700643564,173.0509925816686,HOLD (Inside Hub),inside
600211.SH,西藏药业,100,87,83,82,down,200,183.77180215317821,173.54634838300356,167.0252448976885,BUY (Above Hub),above
600213.SH,亚星客车,91,75,71,70,down,200,147.9777840988862,149.47083502972148,143.14175751634258,HOLD (Inside Hub),inside
600215.SH,长春经开,106,86,82,81,down,200,205.5950819663494,203.52725035322072,193.6904482457738,BUY (Above Hub),above
600216.SH,浙江医药,102,91,87,86,down,200,164.49461565843532,166.6902475474559,160.73543529515777,HOLD (Inside Hub),inside
600219.SH,南山铝业,97,87,83,82,down,200,168.15457503052446,167.35646509791667,163.73669406195128,BUY (Above Hub),above
600222.SH,太阳能,89,76,72,71,down,200,158.68853792113222,155.5149000968007,148.63683414197678,BUY (Above Hub),above
600225.SH,天津松江,100,86,82,81,down,200,170.8892794897007,171.66073113990277,166.57446295519958,HOLD (Inside Hub),inside
