ts_code,name,fractal_count,bi_count,segment_count,hub_count,trend,kline_count,latest_price,hub_high,hub_low,signal,price_position
000001.SZ,平安银行,104,92,88,87,up,200,118.65905541522284,119.20962968234451,101.77621136671213,HOLD (Inside Hub),inside
000002.SZ,万科A,99,89,85,84,down,200,174.7629002043905,175.04375565409597,169.0460633187049,HOLD (Inside Hub),inside
000961.SZ,中南建筑,115,94,90,89,up,200,148.4068040242884,152.00900368623766,148.35410075441223,HOLD (Inside Hub),inside
600016.SH,民生银行,106,96,92,91,down,200,119.9750633278307,120.33011324176566,115.06649202463176,HOLD (Inside Hub),inside
600028.SH,中国石化,102,91,87,86,down,200,192.0180594276285,197.2395129612875,191.4431314516914,HOLD (Inside Hub),inside
600030.SH,中信证券,107,97,93,92,down,200,210.92405923285784,212.38390802416603,207.40255958141393,HOLD (Inside Hub),inside
600036.SH,招商银行,97,83,79,78,up,200,127.14177977309362,131.64950765953145,121.42510433454116,HOLD (Inside Hub),inside
600048.SH,上海临港,99,89,85,84,up,200,170.4549004410332,170.836324089287,164.57830340820658,HOLD (Inside Hub),inside
600050.SH,中国联通,84,74,70,69,up,200,142.75305541746368,143.91376102641405,132.971792978909,HOLD (Inside Hub),inside
600060.SH,海信家电,92,73,69,68,down,200,184.714643356014,190.76027214090024,180.49556355168838,HOLD (Inside Hub),inside
600066.SH,宇通客车,97,80,76,75,up,200,126.8616928117648,128.36768897769,112.65702105319345,HOLD (Inside Hub),inside
600074.SH,华纺股份,107,89,85,84,down,200,175.08406274673146,175.88604372032307,171.3278625274501,HOLD (Inside Hub),inside
600089.SH,特变电工,92,83,79,78,down,200,138.9821588239152,139.08955976638117,132.62781932475318,HOLD (Inside Hub),inside
600100.SH,同方股份,89,72,68,67,up,200,164.3434510951192,165.45373906181956,156.33518232732064,HOLD (Inside Hub),inside
600115.SH,东方航空,92,82,78,77,up,200,132.0459258248905,136.10245624881716,127.78210280918437,HOLD (Inside Hub),inside
600118.SH,中国平安,104,88,84,83,down,200,164.05050071039065,166.09409505753683,158.05048193233912,HOLD (Inside Hub),inside
600138.SH,中青旅,99,80,76,75,down,200,104.48692928565254,107.11742270212841,100.76244798553927,HOLD (Inside Hub),inside
600143.SH,金发科技,83,73,69,68,down,200,168.133687964986,169.40687110427493,153.94597457949837,HOLD (Inside Hub),inside
600145.SH,新兴铸管,103,87,83,82,down,200,183.26072523024723,184.4335667611548,175.5692959014277,HOLD (Inside Hub),inside
600150.SH,中国船舶,84,71,67,66,down,200,132.3944020511365,134.4305883044595,128.88830222315443,HOLD (Inside Hub),inside
600161.SH,天坛生物,95,82,78,77,up,200,132.2735615417655,134.484125310945,130.07527944698435,HOLD (Inside Hub),inside
600177.SH,益阳纸业,96,83,79,78,down,200,132.39039218861632,134.85334951956952,116.12609081133039,HOLD (Inside Hub),inside
600196.SH,复星医药,108,97,93,92,up,200,157.9551201232247,162.33927698563284,156.49165777581732,HOLD (Inside Hub),inside
600210.SH,紫江企业,99,85,81,80,down,200,174.01755021449077,176.4556700643564,173.0509925816686,HOLD (Inside Hub),inside
600213.SH,亚星客车,91,75,71,70,down,200,147.9777840988862,149.47083502972148,143.14175751634258,HOLD (Inside Hub),inside
600216.SH,浙江医药,102,91,87,86,down,200,164.49461565843532,166.6902475474559,160.73543529515777,HOLD (Inside Hub),inside
600221.SH,海南航空,82,70,66,65,up,200,191.99052019280364,194.7183919647619,190.14441733799433,HOLD (Inside Hub),inside
600225.SH,天津松江,100,86,82,81,down,200,170.8892794897007,171.66073113990277,166.57446295519958,HOLD (Inside Hub),inside
