ts_code,name,fractal_count,bi_count,segment_count,hub_count,trend,kline_count,latest_price,hub_high,hub_low,signal,price_position
000001.SZ,平安银行,104,92,88,87,up,200,118.65905541522284,119.20962968234451,101.77621136671213,HOLD (Inside Hub),inside
000961.SZ,中南建筑,115,94,90,89,up,200,148.4068040242884,152.00900368623766,148.35410075441223,HOLD (Inside Hub),inside
600036.SH,招商银行,97,83,79,78,up,200,127.14177977309362,131.64950765953145,121.42510433454116,HOLD (Inside Hub),inside
600048.SH,上海临港,99,89,85,84,up,200,170.4549004410332,170.836324089287,164.57830340820658,HOLD (Inside Hub),inside
600050.SH,中国联通,84,74,70,69,up,200,142.75305541746368,143.91376102641405,132.971792978909,HOLD (Inside Hub),inside
600066.SH,宇通客车,97,80,76,75,up,200,126.8616928117648,128.36768897769,112.65702105319345,HOLD (Inside Hub),inside
600078.SH,澄星股份,98,81,77,76,up,200,187.08117796770017,185.16437858949703,178.04386158132246,BUY (Above Hub),above
600100.SH,同方股份,89,72,68,67,up,200,164.3434510951192,165.45373906181956,156.33518232732064,HOLD (Inside Hub),inside
600104.SH,上汽集团,95,82,78,77,up,200,164.3041472270342,172.10886566349367,166.3836921826511,SELL (Below Hub),below
600109.SH,国金证券,101,94,90,89,up,200,163.6118617467188,156.82664278472788,151.95789546081434,BUY (Above Hub),above
600115.SH,东方航空,92,82,78,77,up,200,132.0459258248905,136.10245624881716,127.78210280918437,HOLD (Inside Hub),inside
600161.SH,天坛生物,95,82,78,77,up,200,132.2735615417655,134.484125310945,130.07527944698435,HOLD (Inside Hub),inside
600196.SH,复星医药,108,97,93,92,up,200,157.9551201232247,162.33927698563284,156.49165777581732,HOLD (Inside Hub),inside
600208.SH,新华制药,102,86,82,81,up,200,117.90332732819037,111.23561359484522,106.99067498086049,BUY (Above Hub),above
600209.SH,ST罗顿,98,87,83,82,up,200,196.04197086328983,192.89892223975744,188.3316936206451,BUY (Above Hub),above
600221.SH,海南航空,82,70,66,65,up,200,191.99052019280364,194.7183919647619,190.14441733799433,HOLD (Inside Hub),inside
600223.SH,莱钢股份,99,92,88,87,up,200,96.37844809825211,94.18892168136047,75.98156978529128,BUY (Above Hub),above
